old_url,new_url,match_type
https://www.woodinvillesportsclub.com/,https://www.woodinvillesportsclub.com/,exact
https://www.woodinvillesportsclub.com/about-1,https://www.woodinvillesportsclub.com/about,redirect-needed
https://www.woodinvillesportsclub.com/about-3,https://www.woodinvillesportsclub.com/about,redirect-needed
https://www.woodinvillesportsclub.com/about-wsc,https://www.woodinvillesportsclub.com/about,redirect-needed
https://www.woodinvillesportsclub.com/adult-rpm-classes/rpm-adult-2.0,https://www.woodinvillesportsclub.com/tennis,redirect-needed
https://www.woodinvillesportsclub.com/adult-rpm-classes/rpm-adult-2.5,https://www.woodinvillesportsclub.com/tennis,redirect-needed
https://www.woodinvillesportsclub.com/adult-rpm-classes/rpm-adult-3.0,https://www.woodinvillesportsclub.com/tennis,redirect-needed
https://www.woodinvillesportsclub.com/adult-wsc-tennis,https://www.woodinvillesportsclub.com/tennis,redirect-needed
https://www.woodinvillesportsclub.com/apl-training-center,https://www.woodinvillesportsclub.com/gym,redirect-needed
https://www.woodinvillesportsclub.com/areasweserve,https://www.woodinvillesportsclub.com/about,redirect-needed
https://www.woodinvillesportsclub.com/blog,https://www.woodinvillesportsclub.com/blog,exact
https://www.woodinvillesportsclub.com/blog/categories/golf,https://www.woodinvillesportsclub.com/blog/categories/golf,exact
https://www.woodinvillesportsclub.com/blog/categories/tennis,https://www.woodinvillesportsclub.com/blog/categories/tennis,exact
https://www.woodinvillesportsclub.com/book,https://app.courtreserve.com/Online/Portal/Index/6689,redirect-needed
https://www.woodinvillesportsclub.com/book-online,https://app.courtreserve.com/Online/Portal/Index/6689,redirect-needed
https://www.woodinvillesportsclub.com/camps,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/careers,https://www.woodinvillesportsclub.com/careers,exact
https://www.woodinvillesportsclub.com/coaching-conference,https://www.woodinvillesportsclub.com/contact,redirect-needed
https://www.woodinvillesportsclub.com/contact-us,https://www.woodinvillesportsclub.com/contact,redirect-needed
https://www.woodinvillesportsclub.com/copy-of-2025-summer-camp-sign-up,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/copy-of-adventure-camp,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/copy-of-camps,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/copy-of-golf-camp,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/copy-of-tennis,https://www.woodinvillesportsclub.com/tennis,redirect-needed
https://www.woodinvillesportsclub.com/copy-of-tennis-camp,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/courses,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/courses/arts-%26-crafts,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/courses/baking-for-beginners,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/courses/modern-ballet,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/courses/pottery-workshop,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/courses/tennis,https://www.woodinvillesportsclub.com/tennis,redirect-needed
https://www.woodinvillesportsclub.com/courses/trumpet-basics,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/event-details-registration/fitness-expo-extravaganza,https://www.woodinvillesportsclub.com/contact,redirect-needed
https://www.woodinvillesportsclub.com/event-details-registration/pickleball-palooza-tournament,https://www.woodinvillesportsclub.com/contact,redirect-needed
https://www.woodinvillesportsclub.com/event-details-registration/tennis-under-the-stars-gala,https://www.woodinvillesportsclub.com/contact,redirect-needed
https://www.woodinvillesportsclub.com/events-1,https://www.woodinvillesportsclub.com/events,redirect-needed
https://www.woodinvillesportsclub.com/faqs,https://www.woodinvillesportsclub.com/faq,redirect-needed
https://www.woodinvillesportsclub.com/fitness,https://www.woodinvillesportsclub.com/gym,redirect-needed
https://www.woodinvillesportsclub.com/food-trucks,https://www.woodinvillesportsclub.com/food-trucks,exact
https://www.woodinvillesportsclub.com/free-fitness-assessment,https://www.woodinvillesportsclub.com/gym,redirect-needed
https://www.woodinvillesportsclub.com/fta-parent-meeting-4-21,https://www.woodinvillesportsclub.com/contact,redirect-needed
https://www.woodinvillesportsclub.com/golf,https://www.woodinvillesportsclub.com/golf,exact
https://www.woodinvillesportsclub.com/golf-coaching,https://www.woodinvillesportsclub.com/golf,redirect-needed
https://www.woodinvillesportsclub.com/inquiry-services-page,https://www.woodinvillesportsclub.com/contact,redirect-needed
https://www.woodinvillesportsclub.com/main-gym,https://www.woodinvillesportsclub.com/gym,redirect-needed
https://www.woodinvillesportsclub.com/matpilates,https://www.woodinvillesportsclub.com/gym,redirect-needed
https://www.woodinvillesportsclub.com/member-request,https://www.woodinvillesportsclub.com/contact,redirect-needed
https://www.woodinvillesportsclub.com/membership,https://www.woodinvillesportsclub.com/membership,exact
https://www.woodinvillesportsclub.com/membership-agreement,https://www.woodinvillesportsclub.com/policies,redirect-needed
https://www.woodinvillesportsclub.com/membership-policies,https://www.woodinvillesportsclub.com/policies,redirect-needed
https://www.woodinvillesportsclub.com/newsletter-signup,https://www.woodinvillesportsclub.com/contact,redirect-needed
https://www.woodinvillesportsclub.com/performance-training-team,https://www.woodinvillesportsclub.com/gym,redirect-needed
https://www.woodinvillesportsclub.com/personal-training-interest-form,https://www.woodinvillesportsclub.com/gym,redirect-needed
https://www.woodinvillesportsclub.com/pickleball,https://www.woodinvillesportsclub.com/pickleball,exact
https://www.woodinvillesportsclub.com/pickleball-camp,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/post/bellevue-golfers-looking-for-a-top-notch-driving-range-near-you,https://www.woodinvillesportsclub.com/post/bellevue-golfers-looking-for-a-top-notch-driving-range-near-you,exact
https://www.woodinvillesportsclub.com/post/bothell-driving-range-woodinville-sports-club-golf,https://www.woodinvillesportsclub.com/post/bothell-driving-range-woodinville-sports-club-golf,exact
https://www.woodinvillesportsclub.com/post/elevate-your-fitness-game-at-woodinville-sports-club,https://www.woodinvillesportsclub.com/post/elevate-your-fitness-game-at-woodinville-sports-club,exact
https://www.woodinvillesportsclub.com/post/join-woodinville-sports-club-for-premier-sports-facilities,https://www.woodinvillesportsclub.com/post/join-woodinville-sports-club-for-premier-sports-facilities,exact
https://www.woodinvillesportsclub.com/post/kirkland-driving-range-woodinville-sports-club,https://www.woodinvillesportsclub.com/post/kirkland-driving-range-woodinville-sports-club,exact
https://www.woodinvillesportsclub.com/post/kirkland-parents-give-your-kids-the-ultimate-summer-at-woodinville-sports-club,https://www.woodinvillesportsclub.com/post/kirkland-parents-give-your-kids-the-ultimate-summer-at-woodinville-sports-club,exact
https://www.woodinvillesportsclub.com/post/premier-tennis-courts-classes-in-woodinville-wa,https://www.woodinvillesportsclub.com/post/premier-tennis-courts-classes-in-woodinville-wa,exact
https://www.woodinvillesportsclub.com/post/redmond-driving-range-toptracer-golf-at-wsc,https://www.woodinvillesportsclub.com/post/redmond-driving-range-toptracer-golf-at-wsc,exact
https://www.woodinvillesportsclub.com/post/summer-camps-near-me-woodinville-wa,https://www.woodinvillesportsclub.com/post/summer-camps-near-me-woodinville-wa,exact
https://www.woodinvillesportsclub.com/post/top-summer-camps-near-bellevue-for-2025,https://www.woodinvillesportsclub.com/post/top-summer-camps-near-bellevue-for-2025,exact
https://www.woodinvillesportsclub.com/post/top-tennis-courts-classes-near-bothell-wa,https://www.woodinvillesportsclub.com/post/top-tennis-courts-classes-near-bothell-wa,exact
https://www.woodinvillesportsclub.com/post/training-in-the-pacific-northwest-making-the-most-of-covered-bay-practice,https://www.woodinvillesportsclub.com/post/training-in-the-pacific-northwest-making-the-most-of-covered-bay-practice,exact
https://www.woodinvillesportsclub.com/post/uncovering-the-ultimate-golf-experience-explore-our-woodinville-driving-range-today,https://www.woodinvillesportsclub.com/post/uncovering-the-ultimate-golf-experience-explore-our-woodinville-driving-range-today,exact
https://www.woodinvillesportsclub.com/post/wsc-2025-pricing-and-policy-changes,https://www.woodinvillesportsclub.com/post/wsc-2025-pricing-and-policy-changes,exact
https://www.woodinvillesportsclub.com/post/wsc-updated-court-booking-guide,https://www.woodinvillesportsclub.com/post/wsc-updated-court-booking-guide,exact
https://www.woodinvillesportsclub.com/racket-stringing,https://www.woodinvillesportsclub.com/pro-shop,redirect-needed
https://www.woodinvillesportsclub.com/registration-instructions,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/rpm-elite-application,https://www.woodinvillesportsclub.com/tennis,redirect-needed
https://www.woodinvillesportsclub.com/sact,https://www.woodinvillesportsclub.com/tennis,redirect-needed
https://www.woodinvillesportsclub.com/strength-and-conditioning,https://www.woodinvillesportsclub.com/gym,redirect-needed
https://www.woodinvillesportsclub.com/summer,https://www.woodinvillesportsclub.com/summer,exact
https://www.woodinvillesportsclub.com/summer-camp-signup,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/summer-camps-adventureclub,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/summer-camps-golf,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/summer-camps-tennis,https://www.woodinvillesportsclub.com/summer,redirect-needed
https://www.woodinvillesportsclub.com/tennis,https://www.woodinvillesportsclub.com/tennis,exact
